agent_id,agent_name,role,abilities
jett,Jett,Duelist,
phoenix,Phoenix,Duelist,
reyna,Reyna,Duelist,
raze,Raze,Duelist,
yoru,Yoru,Duelist,
neon,Neon,Duelist,
iso,Iso,Duelist,
waylay,Waylay,Duelist,
brimstone,Brimstone,Controller,
omen,Omen,Controller,
viper,Viper,Controller,
astra,Astra,Controller,
harbor,Harbor,Controller,
clove,Clove,Controller,
sage,Sage,Sentinel,
cypher,Cypher,Sentinel,
killjoy,Killjoy,Sentinel,
chamber,Chamber,Sentinel,
deadlock,Deadlock,Sentinel,
vyse,Vyse,Sentinel,
sova,Sova,Initiator,
breach,Breach,Initiator,
skye,Skye,Initiator,
kay/o,Kayo,Initiator,
kayo,Kayo,Initiator,
fade,Fade,Initiator,
gekko,Gekko,Initiator,
tejo,Tejo,Initiator,
