id,game_id,series_id,player_id,player_name,team_id,agent,final_money,final_loadout_value,final_net_worth,total_kills,total_deaths,total_assists,total_headshots
719f343f-e8d5-44de-98c5-e66f04d0f5ab_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,45,liazzi,99,viper,2750,0,2750,19,17,6,16
719f343f-e8d5-44de-98c5-e66f04d0f5ab_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,57,mwzera,99,jett,1350,300,1650,23,15,8,15
719f343f-e8d5-44de-98c5-e66f04d0f5ab_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,19,kon4n,99,sova,1550,0,1550,14,17,8,7
719f343f-e8d5-44de-98c5-e66f04d0f5ab_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,3314,havoc,99,kay/o,400,1500,1900,2,20,0,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,51,Khalil,99,cypher,1550,0,1550,15,17,8,16
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11334,Demon1,97,jett,3350,150,3500,19,17,12,10
719f343f-e8d5-44de-98c5-e66f04d0f5ab_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,292,Marved,97,viper,2050,4700,6750,16,17,10,14
719f343f-e8d5-44de-98c5-e66f04d0f5ab_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,297,Ethan,97,kay/o,2400,200,2600,17,13,5,15
719f343f-e8d5-44de-98c5-e66f04d0f5ab_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,291,crashies,97,sova,2350,0,2350,16,13,5,14
719f343f-e8d5-44de-98c5-e66f04d0f5ab_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,290,Victor,97,cypher,1200,200,1400,18,13,6,16
cd0ede88-b842-4de2-ae9f-bb8776a99437_45,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,45,liazzi,99,omen,50,0,50,8,14,1,10
cd0ede88-b842-4de2-ae9f-bb8776a99437_57,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,57,mwzera,99,jett,200,0,200,13,14,8,7
cd0ede88-b842-4de2-ae9f-bb8776a99437_19,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,19,kon4n,99,sova,0,150,150,12,13,6,7
cd0ede88-b842-4de2-ae9f-bb8776a99437_3314,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,3314,havoc,99,kay/o,300,0,300,12,17,4,12
cd0ede88-b842-4de2-ae9f-bb8776a99437_51,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,51,Khalil,99,killjoy,300,200,500,14,14,8,10
cd0ede88-b842-4de2-ae9f-bb8776a99437_11334,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,11334,Demon1,97,jett,6050,6900,12950,14,9,7,8
cd0ede88-b842-4de2-ae9f-bb8776a99437_292,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,292,Marved,97,omen,3350,4100,7450,8,14,5,5
cd0ede88-b842-4de2-ae9f-bb8776a99437_297,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,297,Ethan,97,kay/o,1850,4200,6050,20,11,6,12
cd0ede88-b842-4de2-ae9f-bb8776a99437_291,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,291,crashies,97,sova,2350,4600,6950,13,11,8,8
cd0ede88-b842-4de2-ae9f-bb8776a99437_290,cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,290,Victor,97,killjoy,5000,0,5000,17,14,9,15
8aacfbab-be97-44f9-bc69-da5c6601062a_1814,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,1814,rglmeister,81,brimstone,400,0,400,17,14,5,13
8aacfbab-be97-44f9-bc69-da5c6601062a_59,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,59,frz,81,viper,450,400,850,16,18,8,11
8aacfbab-be97-44f9-bc69-da5c6601062a_266,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,266,mazin,81,skye,200,150,350,13,20,4,12
8aacfbab-be97-44f9-bc69-da5c6601062a_2641,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,2641,jzz,81,raze,450,0,450,11,22,11,14
8aacfbab-be97-44f9-bc69-da5c6601062a_2837,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,2837,artziN,81,jett,50,550,600,16,19,9,14
8aacfbab-be97-44f9-bc69-da5c6601062a_11969,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,11969,Jakee,79,brimstone,4350,3600,7950,20,14,5,14
8aacfbab-be97-44f9-bc69-da5c6601062a_10636,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,10636,OXY,79,yoru,2950,1050,4000,21,18,11,22
8aacfbab-be97-44f9-bc69-da5c6601062a_91,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,91,vanity,79,skye,2900,4350,7250,9,13,4,9
8aacfbab-be97-44f9-bc69-da5c6601062a_706,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,706,wippie,79,viper,4500,200,4700,23,11,9,15
8aacfbab-be97-44f9-bc69-da5c6601062a_1193,8aacfbab-be97-44f9-bc69-da5c6601062a,2629391,1193,xeppaa,79,raze,2900,0,2900,20,17,9,14
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_1814,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,1814,rglmeister,81,astra,250,0,250,15,12,5,9
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_59,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,59,frz,81,viper,1250,0,1250,13,13,7,12
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_266,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,266,mazin,81,skye,1300,3050,4350,14,13,2,12
e267ddd1-e28f-48e3-8e83-3fb42a27cc63_2641,e267ddd1-e28f-48e3-8e83-3fb42a27cc63,2629391,2641,jzz,81,raze,800,700,1500,21,14,4,18
