team_id,map_name,side,pistol_wins,first_half_pistol_wins,second_half_pistol_wins
81,split,attacker,6,6,0
81,bind,attacker,4,0,3
3412,bind,defender,4,2,2
48457,icebox,defender,5,2,3
1611,ascent,attacker,5,2,2
97,breeze,defender,2,2,0
99,icebox,attacker,4,1,2
1611,breeze,defender,1,1,0
3412,icebox,attacker,4,2,2
281,fracture,defender,1,1,0
79,fracture,defender,1,0,1
3412,fracture,attacker,1,1,0
1611,haven,defender,9,4,2
1611,abyss,defender,1,1,0
81,ascent,defender,3,1,2
337,split,defender,5,4,0
3412,split,attacker,3,1,1
96,abyss,attacker,2,1,1
96,ascent,attacker,11,8,0
1611,lotus,defender,6,2,4
96,bind,defender,4,3,1
337,breeze,attacker,1,0,1
1079,icebox,attacker,3,1,2
79,split,attacker,2,0,2
281,split,defender,2,1,1
97,lotus,attacker,4,1,2
81,corrode,defender,1,1,0
97,haven,attacker,1,0,1
79,bind,defender,5,4,1
96,breeze,attacker,3,2,1
48457,haven,defender,7,2,5
337,pearl,defender,1,0,1
96,lotus,attacker,10,1,9
81,abyss,defender,1,1,0
81,pearl,attacker,4,2,1
48457,lotus,attacker,5,3,2
81,sunset,defender,2,0,2
281,lotus,defender,5,2,2
281,sunset,defender,3,2,1
81,icebox,attacker,7,5,2
48457,split,defender,1,1,0
1079,haven,defender,1,0,1
97,fracture,defender,1,0,1
337,icebox,attacker,3,1,2
3412,sunset,attacker,3,2,1
99,sunset,defender,1,1,0
,haven,,1,0,1
81,lotus,defender,8,3,3
99,split,defender,2,1,1
1079,split,defender,7,5,2
3412,ascent,defender,3,1,2
1611,icebox,defender,6,4,2
96,sunset,defender,3,2,1
337,bind,defender,9,5,4
99,haven,attacker,4,1,1
79,abyss,defender,2,1,1
96,icebox,attacker,7,1,6
48457,sunset,defender,2,1,1
337,haven,defender,5,2,2
3412,pearl,attacker,1,0,1
79,pearl,defender,2,2,0
99,bind,defender,2,1,1
48457,corrode,attacker,1,1,0
