player_id,player_name,agent,agent_role,games_played,total_kills,total_deaths,kd_ratio,total_headshots
45,liazzi,viper,Controller,2,36,33,1.09,31
1193,xeppaa,skye,Initiator,1,14,15,0.93,15
1193,xeppaa,fade,Initiator,1,18,18,1.0,11
297,Ethan,skye,Initiator,1,15,14,1.07,10
287,zekken,raze,Duelist,19,341,308,1.11,255
2345,Boostio,gekko,Initiator,16,203,232,0.88,162
2343,tex,gekko,Initiator,12,148,160,0.93,139
74,Mazino,omen,Controller,5,91,77,1.18,87
2349,valyn,harbor,Controller,10,136,142,0.96,120
303,NaturE,viper,Controller,6,90,92,0.98,85
3301,v1nNy,kay/o,Initiator,1,20,13,1.54,18
629,xenom,omen,Controller,16,229,237,0.97,184
2361,Cryo,clove,Controller,1,16,10,1.6,11
32030,pryze,breach,Initiator,2,13,28,0.46,10
10628,add3r,vyse,Sentinel,1,10,14,0.71,8
1195,mitch,breach,Initiator,10,132,161,0.82,103
2353,trent,sova,Initiator,26,395,347,1.14,292
3078,Shyy,vyse,Sentinel,8,124,109,1.14,93
14,aspas,jett,Duelist,45,920,581,1.58,573
11013,N4RRATE,iso,Duelist,1,21,19,1.11,19
725,moose,cypher,Sentinel,8,99,104,0.95,82
1193,Xeppaa,kay/o,Initiator,4,60,72,0.83,64
306,Derrek,fade,Initiator,10,138,143,0.97,134
303,NaturE,killjoy,Sentinel,3,33,47,0.7,40
307,supamen,viper,Controller,11,155,181,0.86,146
51,Khalil,omen,Controller,7,106,105,1.01,90
2837,artzin,harbor,Controller,7,88,97,0.91,68
10612,v1c,astra,Controller,5,74,60,1.23,70
2361,Cryo,yoru,Duelist,13,217,197,1.1,159
3320,cortezia,vyse,Sentinel,7,124,116,1.07,113
51,khalil,astra,Controller,3,23,39,0.59,20
48,heat,breach,Initiator,4,55,50,1.1,48
74,Mazino,deadlock,Sentinel,2,37,28,1.32,29
307,supamen,clove,Controller,2,29,41,0.71,26
119048,Kess,cypher,Sentinel,5,53,74,0.72,53
709,BABYBAY,viper,Controller,1,16,12,1.33,12
74,Mazino,sova,Initiator,10,129,128,1.01,97
77,keznitdeuS,iso,Duelist,4,67,57,1.18,60
32032,spikeziN,yoru,Duelist,1,13,16,0.81,14
2340,s0m,deadlock,Sentinel,1,4,15,0.27,5
3314,havoc,kay/o,Initiator,4,44,71,0.62,43
266,mazin,skye,Initiator,4,49,59,0.83,43
10636,OXY,raze,Duelist,23,425,400,1.06,333
1814,rglmeister,omen,Controller,4,56,57,0.98,48
2837,artziN,raze,Duelist,5,63,83,0.76,50
2361,Cryo,jett,Duelist,19,375,291,1.29,201
90,TenZ,kay/o,Initiator,3,49,50,0.98,37
306,Derrek,skye,Initiator,2,20,34,0.59,22
2359,Zander,omen,Controller,12,151,163,0.93,129
297,Ethan,breach,Initiator,12,160,169,0.95,119
1193,Xeppaa,clove,Controller,1,28,25,1.12,18
206,Adverso,viper,Controller,1,11,17,0.65,10
11013,N4RRATE,breach,Initiator,7,98,96,1.02,66
2646,raafa,breach,Initiator,6,68,91,0.75,50
207,kiNgg,omen,Controller,31,502,420,1.2,429
727,bang,brimstone,Controller,1,6,16,0.38,5
