map_name,attacker_team_id,defender_team_id,total_plants,attacker_wins_after_plant,defender_retakes,attacker_conversion_rate
lotus,81,79,14,6,8,42.9
ascent,79,81,7,4,3,57.1
lotus,99,53367,6,5,1,83.3
lotus,97,79,17,11,6,64.7
lotus,79,96,12,5,7,41.7
lotus,96,79,14,12,2,85.7
abyss,79,96,11,3,8,27.3
fracture,96,1079,9,8,1,88.9
bind,337,3412,17,12,5,70.6
bind,337,96,26,17,9,65.4
split,337,96,23,14,9,60.9
sunset,3412,97,1,0,1,0.0
icebox,96,281,3,3,0,100.0
icebox,79,3412,9,9,0,100.0
lotus,79,3412,8,6,2,75.0
bind,97,1611,5,1,4,20.0
icebox,3412,96,3,3,0,100.0
haven,81,96,17,12,5,70.6
split,81,96,9,7,2,77.8
lotus,99,96,9,9,0,100.0
ascent,99,1611,5,3,2,60.0
icebox,79,96,3,1,2,33.3
lotus,48457,96,12,9,3,75.0
icebox,1079,79,9,6,3,66.7
lotus,53367,281,10,6,4,60.0
ascent,81,48457,4,1,3,25.0
bind,97,337,7,3,4,42.9
ascent,97,99,8,6,2,75.0
split,99,81,12,10,2,83.3
sunset,96,1079,7,0,7,0.0
haven,99,53367,8,7,1,87.5
haven,53367,99,3,0,3,0.0
abyss,81,1079,4,2,2,50.0
icebox,1611,48457,23,19,4,82.6
sunset,79,1611,7,7,0,100.0
bind,96,3412,10,6,4,60.0
icebox,96,1079,9,4,5,44.4
icebox,97,81,12,3,9,25.0
pearl,96,79,8,6,2,75.0
icebox,81,99,9,5,4,55.6
fracture,1611,97,8,5,3,62.5
icebox,1611,97,13,10,3,76.9
ascent,337,48457,8,3,5,37.5
icebox,99,337,8,7,1,87.5
ascent,3412,81,6,4,2,66.7
sunset,81,3412,18,11,7,61.1
haven,1611,337,8,3,5,37.5
icebox,281,1611,8,4,4,50.0
haven,99,3412,9,7,2,77.8
split,96,48457,9,8,1,88.9
ascent,53367,281,6,2,4,33.3
lotus,1611,337,2,2,0,100.0
split,1079,3412,7,3,4,42.9
split,96,1079,33,22,11,66.7
split,1079,96,18,10,8,55.6
split,48457,3412,20,15,5,75.0
abyss,81,48457,7,5,2,71.4
icebox,96,48457,5,5,0,100.0
icebox,48457,99,12,7,5,58.3
icebox,1611,1079,12,7,5,58.3
breeze,281,48457,7,4,3,57.1
icebox,281,79,11,6,5,54.5
pearl,96,337,13,9,4,69.2
ascent,96,81,19,13,6,68.4
pearl,97,79,6,3,3,50.0
haven,79,96,9,9,0,100.0
ascent,337,1079,7,7,0,100.0
ascent,1611,81,8,7,1,87.5
sunset,3412,281,3,0,3,0.0
split,48457,96,3,2,1,66.7
haven,1611,79,11,11,0,100.0
lotus,1611,79,10,6,4,60.0
corrode,79,1079,7,5,2,71.4
corrode,97,96,10,5,5,50.0
sunset,96,97,6,3,3,50.0
sunset,337,97,3,3,0,100.0
corrode,97,3412,10,7,3,70.0
sunset,48457,97,6,6,0,100.0
ascent,79,97,10,5,5,50.0
bind,337,1611,14,12,2,85.7
split,1611,337,5,2,3,40.0
split,337,1611,4,4,0,100.0
lotus,337,1079,5,2,3,40.0
bind,81,48457,7,2,5,28.6
fracture,1079,96,2,1,1,50.0
haven,96,1079,17,11,6,64.7
icebox,3412,337,6,2,4,33.3
lotus,48457,1611,18,13,5,72.2
icebox,79,1611,6,4,2,66.7
breeze,3412,97,8,6,2,75.0
icebox,81,48457,11,9,2,81.8
lotus,281,79,8,5,3,62.5
split,81,337,12,8,4,66.7
fracture,337,97,5,4,1,80.0
fracture,3412,48457,10,10,0,100.0
fracture,337,48457,8,4,4,50.0
ascent,99,96,4,3,1,75.0
split,81,1611,7,5,2,71.4
icebox,81,97,5,4,1,80.0
abyss,48457,79,11,6,5,54.5
lotus,48457,337,8,7,1,87.5
sunset,3412,81,17,12,5,70.6
icebox,3412,1611,17,9,8,52.9
corrode,1611,79,7,1,6,14.3
lotus,79,1611,11,8,3,72.7
corrode,1079,79,8,7,1,87.5
lotus,1079,79,10,8,2,80.0
bind,97,96,7,2,5,28.6
sunset,1079,99,3,2,1,66.7
bind,81,97,8,6,2,75.0
pearl,3412,281,15,12,3,80.0
fracture,79,97,17,15,2,88.2
haven,99,1611,6,5,1,83.3
abyss,1079,96,18,12,6,66.7
pearl,1079,81,17,10,7,58.8
pearl,81,1079,14,10,4,71.4
sunset,1611,337,21,16,5,76.2
bind,96,337,18,13,5,72.2
bind,96,1611,31,18,13,58.1
breeze,96,1611,10,5,5,50.0
lotus,1611,96,36,24,12,66.7
breeze,96,337,8,6,2,75.0
icebox,281,96,6,3,3,50.0
split,99,97,2,0,2,0.0
split,79,281,3,3,0,100.0
icebox,99,96,7,3,4,42.9
