team_id,map_name,side,win_type,count,percentage
1079,lotus,attacker,bombExploded,15,12.7
1079,lotus,defender,bombDefused,30,25.4
1079,lotus,defender,opponentEliminated,21,17.8
1079,lotus,defender,timeExpired,1,0.8
1079,lotus,attacker,opponentEliminated,51,43.2
1079,pearl,defender,bombDefused,25,25.3
1079,pearl,attacker,opponentEliminated,46,46.5
1079,pearl,defender,opponentEliminated,14,14.1
1079,pearl,defender,timeExpired,2,2.0
1079,pearl,attacker,bombExploded,12,12.1
3412,breeze,attacker,bombExploded,2,20.0
3412,breeze,attacker,opponentEliminated,5,50.0
3412,breeze,defender,bombDefused,1,10.0
3412,breeze,defender,opponentEliminated,2,20.0
48457,bind,attacker,bombExploded,1,2.5
48457,bind,defender,opponentEliminated,6,15.0
48457,bind,defender,bombDefused,14,35.0
48457,bind,attacker,opponentEliminated,17,42.5
48457,bind,defender,timeExpired,2,5.0
48457,corrode,defender,bombDefused,1,7.7
48457,corrode,defender,timeExpired,2,15.4
48457,corrode,attacker,opponentEliminated,5,38.5
48457,corrode,defender,opponentEliminated,2,15.4
48457,corrode,attacker,bombExploded,3,23.1
81,breeze,defender,bombDefused,6,37.5
81,breeze,attacker,opponentEliminated,3,18.8
81,breeze,defender,opponentEliminated,3,18.8
81,breeze,attacker,bombExploded,4,25.0
97,sunset,defender,bombDefused,10,15.9
97,sunset,attacker,opponentEliminated,25,39.7
97,sunset,defender,opponentEliminated,18,28.6
97,sunset,attacker,bombExploded,10,15.9
1079,split,attacker,bombExploded,12,11.7
1079,split,defender,bombDefused,24,23.3
1079,split,attacker,opponentEliminated,33,32.0
1079,split,defender,timeExpired,4,3.9
1079,split,defender,opponentEliminated,30,29.1
1611,fracture,defender,opponentEliminated,8,30.8
1611,fracture,attacker,bombExploded,5,19.2
1611,fracture,attacker,opponentEliminated,5,19.2
1611,fracture,defender,bombDefused,8,30.8
281,breeze,attacker,opponentEliminated,4,44.4
281,breeze,defender,opponentEliminated,3,33.3
281,breeze,defender,bombDefused,2,22.2
337,abyss,defender,opponentEliminated,2,20.0
337,abyss,attacker,opponentEliminated,4,40.0
337,abyss,attacker,bombExploded,1,10.0
337,abyss,defender,bombDefused,3,30.0
48457,sunset,defender,timeExpired,1,1.6
48457,sunset,attacker,opponentEliminated,32,50.0
48457,sunset,defender,opponentEliminated,17,26.6
48457,sunset,defender,bombDefused,8,12.5
48457,sunset,attacker,bombExploded,6,9.4
79,abyss,defender,opponentEliminated,2,10.5
79,abyss,attacker,bombExploded,5,26.3
79,abyss,defender,bombDefused,8,42.1
79,abyss,attacker,opponentEliminated,3,15.8
79,abyss,defender,timeExpired,1,5.3
97,bind,attacker,bombExploded,7,20.6
97,bind,defender,bombDefused,7,20.6
97,bind,attacker,opponentEliminated,7,20.6
97,bind,defender,timeExpired,1,2.9
97,bind,defender,opponentEliminated,12,35.3
97,corrode,defender,bombDefused,2,7.7
97,corrode,defender,timeExpired,1,3.8
97,corrode,attacker,bombExploded,3,11.5
97,corrode,defender,opponentEliminated,11,42.3
97,corrode,attacker,opponentEliminated,9,34.6
1079,fracture,attacker,opponentEliminated,1,20.0
1079,fracture,defender,opponentEliminated,3,60.0
1079,fracture,defender,bombDefused,1,20.0
1611,split,defender,bombDefused,6,19.4
1611,split,defender,timeExpired,1,3.2
1611,split,attacker,bombExploded,7,22.6
1611,split,defender,opponentEliminated,7,22.6
1611,split,attacker,opponentEliminated,10,32.3
281,sunset,defender,opponentEliminated,11,21.6
281,sunset,defender,bombDefused,11,21.6
281,sunset,attacker,bombExploded,8,15.7
281,sunset,attacker,opponentEliminated,21,41.2
3412,bind,attacker,bombExploded,9,12.7
3412,bind,defender,opponentEliminated,19,26.8
3412,bind,attacker,opponentEliminated,26,36.6
3412,bind,defender,timeExpired,2,2.8
3412,bind,defender,bombDefused,15,21.1
3412,corrode,defender,opponentEliminated,2,22.2
3412,corrode,defender,bombDefused,3,33.3
3412,corrode,attacker,opponentEliminated,2,22.2
