team_id,team_name,map_name,agent,agent_role,times_picked,unique_players
99,FURIA,breeze,jett,Duelist,4,2
81,MIBR,bind,viper,Controller,2,1
81,MIBR,split,skye,Initiator,2,1
97,NRG,sunset,viper,Controller,2,2
79,Cloud9,ascent,kay/o,Initiator,5,1
1079,Sentinels,ascent,killjoy,Sentinel,1,1
1079,Sentinels,ascent,sova,Initiator,3,2
337,100 Thieves,bind,fade,Initiator,15,1
1611,Leviatán Esports,split,sova,Initiator,1,1
337,100 Thieves,icebox,jett,Duelist,10,1
337,100 Thieves,icebox,killjoy,Sentinel,10,2
1611,Leviatán Esports,icebox,viper,Controller,17,2
1079,Sentinels,bind,yoru,Duelist,1,1
96,G2 Esports,breeze,cypher,Sentinel,4,2
3412,LOUD (1),split,astra,Controller,3,1
81,MIBR (1),lotus,tejo,Initiator,5,2
99,FURIA,haven,cypher,Sentinel,2,2
99,FURIA,lotus,raze,Duelist,3,2
96,G2 Esports,abyss,astra,Controller,4,1
96,G2 Esports,abyss,chamber,Sentinel,3,1
96,G2 Esports,pearl,chamber,Sentinel,2,1
81,MIBR (1),split,jett,Duelist,9,3
81,MIBR (1),split,skye,Initiator,4,3
1079,Sentinels,abyss,tejo,Initiator,1,1
96,G2 Esports,lotus,fade,Initiator,10,2
3412,LOUD (1),icebox,sova,Initiator,6,1
48457,KRÜ Esports,sunset,gekko,Initiator,2,1
337,100 Thieves,breeze,cypher,Sentinel,1,1
97,NRG,sunset,kay/o,Initiator,2,1
3412,LOUD (1),sunset,viper,Controller,1,1
1079,Sentinels,icebox,jett,Duelist,4,1
81,MIBR (1),icebox,jett,Duelist,11,4
281,Evil Geniuses,breeze,sova,Initiator,1,1
281,Evil Geniuses,breeze,viper,Controller,1,1
81,MIBR (1),split,omen,Controller,5,2
337,100 Thieves,fracture,tejo,Initiator,2,1
337,100 Thieves,haven,neon,Duelist,4,1
281,Evil Geniuses,fracture,breach,Initiator,1,1
81,MIBR (1),haven,jett,Duelist,4,1
81,MIBR (1),ascent,vyse,Sentinel,1,1
48457,KRÜ Esports,split,breach,Initiator,1,1
53367,2GAME eSports,pearl,vyse,Sentinel,1,1
281,Evil Geniuses,haven,sova,Initiator,1,1
81,MIBR (1),split,cypher,Sentinel,1,1
99,FURIA,pearl,kay/o,Initiator,2,1
79,Cloud9,split,breach,Initiator,1,1
97,NRG,ascent,cypher,Sentinel,2,1
1611,Leviatán Esports,ascent,waylay,Duelist,1,1
79,Cloud9,lotus,cypher,Sentinel,2,1
81,MIBR (1),lotus,vyse,Sentinel,3,1
48457,KRÜ Esports,abyss,omen,Controller,2,1
79,Cloud9,haven,killjoy,Sentinel,3,2
337,100 Thieves,lotus,killjoy,Sentinel,2,1
99,FURIA,bind,brimstone,Controller,3,2
81,MIBR (1),lotus,fade,Initiator,3,2
1611,Leviatán Esports,corrode,chamber,Sentinel,1,1
1611,Leviatán Esports,haven,yoru,Duelist,5,1
97,NRG,corrode,viper,Controller,2,1
53367,2GAME eSports,lotus,neon,Duelist,1,1
53367,2GAME eSports,ascent,omen,Controller,2,1
53367,2GAME eSports,ascent,cypher,Sentinel,2,1
1079,Sentinels,ascent,yoru,Duelist,1,1
48457,KRÜ Esports,ascent,yoru,Duelist,3,1
337,100 Thieves,bind,yoru,Duelist,4,1
99,FURIA,ascent,jett,Duelist,2,2
99,FURIA,ascent,killjoy,Sentinel,1,1
81,MIBR,bind,brimstone,Controller,2,1
81,MIBR,breeze,sova,Initiator,1,1
79,Cloud9,sunset,viper,Controller,3,2
97,NRG,sunset,cypher,Sentinel,6,4
337,100 Thieves,bind,gekko,Initiator,11,1
1611,Leviatán Esports,bind,viper,Controller,9,1
1611,Leviatán Esports,icebox,harbor,Controller,14,2
1079,Sentinels,lotus,raze,Duelist,8,1
96,G2 Esports,sunset,cypher,Sentinel,2,2
1079,Sentinels,breeze,kay/o,Initiator,1,1
96,G2 Esports,split,viper,Controller,10,2
281,Evil Geniuses,split,omen,Controller,2,1
3412,LOUD (1),split,cypher,Sentinel,2,1
281,Evil Geniuses,pearl,sova,Initiator,1,1
53367,2GAME eSports,haven,yoru,Duelist,3,3
48457,KRÜ Esports,haven,breach,Initiator,4,2
48457,KRÜ Esports,split,viper,Controller,5,2
1079,Sentinels,bind,gekko,Initiator,4,2
48457,KRÜ Esports,abyss,jett,Duelist,3,1
48457,KRÜ Esports,abyss,kay/o,Initiator,3,2
79,Cloud9,lotus,viper,Controller,5,2
1611,Leviatán Esports,bind,brimstone,Controller,8,2
48457,KRÜ Esports,lotus,fade,Initiator,8,2
79,Cloud9,icebox,viper,Controller,7,3
1611,Leviatán Esports,sunset,phoenix,Duelist,1,1
97,NRG,sunset,gekko,Initiator,2,1
281,Evil Geniuses,lotus,viper,Controller,8,2
281,Evil Geniuses,icebox,viper,Controller,3,1
81,MIBR (1),bind,kay/o,Initiator,1,1
