team_id,map_name,is_pistol_round,weapon_name,total_kills,games_with_weapon
99,ascent,false,vandal,96,4
97,ascent,false,odin,12,3
81,bind,false,shorty,2,2
81,split,false,phantom,107,11
79,split,false,phantom,72,4
81,split,false,sheriff,27,9
81,split,false,outlaw,7,3
79,split,false,sheriff,4,3
81,lotus,true,sheriff,11,6
81,breeze,false,sheriff,6,2
81,breeze,false,phantom,12,1
81,breeze,true,classic,1,1
81,breeze,false,outlaw,2,1
79,sunset,false,guardian,13,3
81,ascent,false,shorty,2,2
3412,split,true,ghost,31,5
1079,ascent,false,operator,6,3
337,split,true,ghost,38,9
337,icebox,false,vandal,298,10
337,lotus,false,stinger,15,6
96,sunset,false,spectre,2,1
96,sunset,false,classic,10,4
96,breeze,false,operator,2,1
53367,haven,false,guardian,17,3
99,lotus,false,vandal,199,7
97,lotus,false,guardian,8,4
337,pearl,false,vandal,65,2
1611,haven,false,shorty,3,3
99,split,false,bucky,2,1
99,split,false,guardian,9,3
79,abyss,false,classic,4,2
96,abyss,false,marshal,3,1
96,abyss,false,classic,3,3
1079,pearl,true,classic,7,4
96,pearl,false,guardian,12,6
48457,abyss,false,stinger,3,2
96,ascent,true,vandal,16,2
3412,bind,true,ghost,35,7
96,icebox,true,classic,36,9
48457,icebox,false,vandal,384,11
96,ascent,false,ares,3,3
337,sunset,false,bulldog,12,5
337,ascent,false,phantom,84,4
96,bind,false,stinger,43,8
1611,lotus,false,spectre,10,6
1611,lotus,false,classic,15,10
96,bind,true,sheriff,13,6
79,icebox,false,bulldog,23,7
281,icebox,true,ghost,10,4
1079,icebox,false,shorty,2,2
99,icebox,false,phantom,50,6
99,icebox,false,sheriff,33,6
48457,breeze,true,ghost,12,2
97,split,true,ghost,12,2
97,split,false,classic,4,2
97,split,false,spectre,5,2
79,lotus,false,odin,2,2
281,sunset,true,ghost,27,5
79,sunset,false,bucky,1,1
3412,icebox,false,operator,23,5
3412,lotus,true,ghost,42,5
3412,lotus,false,vandal,287,6
281,breeze,false,classic,3,1
97,bind,false,ghost,2,2
337,ascent,false,sheriff,10,3
281,sunset,false,guardian,20,4
1079,sunset,false,guardian,2,2
1611,breeze,false,bulldog,1,1
97,haven,false,classic,6,3
281,lotus,false,shorty,8,3
81,haven,false,sheriff,12,5
96,haven,false,operator,10,4
81,haven,false,phantom,51,5
81,lotus,true,phantom,8,3
1079,haven,false,ghost,2,2
3412,fracture,false,ghost,1,1
281,pearl,true,sheriff,1,1
281,pearl,true,phantom,1,1
281,haven,false,operator,4,1
97,pearl,false,bulldog,7,1
97,fracture,true,frenzy,3,1
81,haven,false,outlaw,7,4
79,split,false,outlaw,2,1
1611,pearl,false,stinger,1,1
97,icebox,false,phantom,38,4
97,icebox,false,outlaw,7,3
1611,fracture,false,shorty,2,1
97,icebox,false,sheriff,9,3
48457,abyss,true,sheriff,3,2
1079,ascent,false,judge,2,2
1611,sunset,false,ghost,7,5
1611,abyss,false,bulldog,4,1
1611,haven,true,vandal,7,1
337,icebox,true,vandal,1,1
3412,haven,false,stinger,3,2
99,icebox,false,outlaw,6,2
1611,corrode,false,odin,5,1
96,haven,false,judge,2,1
96,corrode,false,vandal,43,2
97,corrode,false,operator,16,2
1611,lotus,false,marshal,1,1
53367,sunset,false,vandal,23,1
53367,ascent,false,marshal,4,1
53367,ascent,true,sheriff,3,1
53367,ascent,false,classic,4,1
1079,sunset,false,bucky,1,1
1079,icebox,true,sheriff,5,1
337,corrode,false,phantom,6,1
337,corrode,false,sheriff,2,1
337,corrode,false,outlaw,3,1
97,haven,false,spectre,4,1
3412,corrode,false,stinger,4,1
337,lotus,true,vandal,5,1
97,haven,true,shorty,1,1
97,ascent,false,bulldog,12,3
79,bind,true,classic,16,4
81,bind,false,phantom,105,7
81,bind,true,sheriff,5,4
81,bind,false,sheriff,16,6
81,split,true,sheriff,16,9
81,split,false,shorty,6,6
81,lotus,false,spectre,2,1
79,lotus,false,bulldog,30,9
81,lotus,false,classic,13,7
97,sunset,false,classic,13,6
97,sunset,false,spectre,5,3
79,ascent,false,guardian,11,6
97,ascent,true,phantom,1,1
81,bind,true,phantom,3,2
81,ascent,true,classic,16,6
81,ascent,false,phantom,69,7
81,ascent,false,sheriff,23,7
81,ascent,false,outlaw,2,2
1079,split,false,bulldog,41,9
3412,ascent,false,spectre,2,2
337,bind,false,guardian,11,5
1611,bind,false,guardian,25,9
337,split,false,guardian,19,6
337,icebox,true,ghost,39,9
337,lotus,false,operator,6,3
337,lotus,true,ghost,21,5
1079,bind,true,ghost,13,5
1079,breeze,false,classic,2,1
1079,breeze,false,marshal,1,1
96,breeze,false,stinger,10,4
281,split,false,bulldog,7,3
3412,split,true,vandal,3,1
281,pearl,false,spectre,2,1
3412,pearl,false,phantom,30,2
281,pearl,false,classic,15,4
337,bind,false,bucky,3,2
99,haven,false,classic,15,5
99,haven,false,spectre,1,1
53367,lotus,false,bulldog,2,1
79,fracture,true,phantom,2,1
3412,haven,true,sheriff,3,1
3412,haven,false,operator,13,1
48457,haven,false,sheriff,23,8
48457,haven,false,outlaw,12,3
337,split,false,bucky,2,2
1079,pearl,false,bulldog,27,7
337,pearl,false,ghost,2,2
1611,haven,true,ghost,50,10
1611,haven,false,phantom,269,10
1611,haven,false,sheriff,20,7
1611,haven,false,outlaw,13,7
1079,abyss,true,ghost,9,3
1079,abyss,false,classic,12,3
48457,bind,false,classic,4,3
81,bind,false,outlaw,7,2
81,abyss,true,sheriff,1,1
81,pearl,false,guardian,13,3
1079,fracture,false,guardian,4,1
96,haven,false,stinger,70,10
1079,haven,false,vandal,122,5
96,ascent,true,ghost,37,13
3412,icebox,true,sheriff,6,4
48457,icebox,true,ghost,61,11
96,icebox,false,bulldog,48,8
1611,sunset,false,vandal,298,10
48457,lotus,false,classic,24,9
48457,icebox,false,ghost,5,2
96,bind,false,operator,11,3
79,ascent,true,operator,1,1
79,ascent,true,judge,1,1
97,breeze,false,bulldog,8,2
3412,sunset,false,stinger,11,3
281,lotus,false,sheriff,32,9
281,lotus,false,phantom,180,10
281,lotus,false,outlaw,7,4
1079,icebox,false,phantom,79,5
1079,icebox,false,sheriff,6,4
48457,breeze,false,sheriff,3,2
48457,breeze,false,phantom,6,2
79,split,false,shorty,4,3
3412,lotus,false,ghost,9,4
97,sunset,false,marshal,1,1
97,bind,false,vandal,89,4
99,icebox,true,classic,9,4
337,ascent,false,shorty,4,3
281,bind,false,spectre,10,2
3412,bind,false,classic,6,4
81,icebox,true,classic,7,5
81,icebox,false,classic,8,6
1079,ascent,false,stinger,13,4
97,fracture,false,bulldog,9,4
281,icebox,true,vandal,8,1
1079,icebox,false,outlaw,3,1
48457,lotus,false,spectre,2,2
337,haven,false,spectre,4,3
337,haven,false,classic,8,6
337,split,true,vandal,1,1
96,pearl,true,phantom,5,2
337,pearl,true,phantom,1,1
81,haven,false,shorty,5,3
96,lotus,true,phantom,3,2
81,lotus,true,shorty,1,1
96,split,true,sheriff,1,1
3412,fracture,false,vandal,40,1
3412,fracture,true,sheriff,2,1
48457,haven,false,phantom,142,8
53367,pearl,false,stinger,2,1
3412,pearl,false,sheriff,8,1
281,pearl,false,marshal,3,2
3412,pearl,false,outlaw,1,1
281,pearl,true,shorty,1,1
281,haven,false,stinger,1,1
79,fracture,true,sheriff,2,1
97,pearl,true,ghost,7,2
99,lotus,false,ghost,4,2
99,pearl,false,classic,5,2
81,pearl,false,bucky,1,1
99,pearl,true,classic,5,2
1611,pearl,false,operator,3,1
79,haven,false,bulldog,11,3
1611,fracture,false,sheriff,3,1
96,fracture,false,guardian,5,1
1611,fracture,false,phantom,24,2
1611,fracture,false,outlaw,2,1
79,haven,true,sheriff,2,1
97,icebox,false,shorty,2,2
48457,abyss,false,operator,8,2
96,lotus,true,sheriff,12,4
96,abyss,true,sheriff,5,1
337,abyss,false,bulldog,1,1
337,lotus,false,judge,2,2
281,bind,false,classic,2,1
99,bind,false,bulldog,10,3
3412,ascent,false,classic,5,2
3412,icebox,false,stinger,5,3
3412,bind,false,spectre,6,3
3412,icebox,false,frenzy,1,1
99,sunset,false,bulldog,11,2
79,sunset,true,phantom,3,1
1611,corrode,false,bulldog,2,1
97,corrode,false,stinger,6,1
97,corrode,false,frenzy,3,1
53367,lotus,true,sheriff,1,1
281,ascent,false,operator,6,1
1079,corrode,false,bulldog,3,1
1611,ascent,true,melee,1,1
3412,ascent,false,marshal,4,1
48457,corrode,false,bulldog,1,1
48457,bind,false,spectre,5,2
97,haven,true,sheriff,7,3
3412,corrode,false,operator,2,1
97,haven,true,phantom,1,1
81,icebox,false,marshal,1,1
81,lotus,false,marshal,1,1
3412,lotus,true,vandal,4,1
99,breeze,false,vandal,128,4
97,ascent,true,classic,20,4
81,bind,false,classic,9,6
81,bind,true,classic,5,3
79,bind,false,ghost,3,2
81,bind,false,marshal,2,2
81,split,true,classic,20,10
81,lotus,false,phantom,135,9
81,lotus,false,sheriff,38,10
99,split,false,bulldog,7,4
79,sunset,true,classic,22,4
97,sunset,false,phantom,32,6
79,sunset,false,bulldog,5,3
97,sunset,false,sheriff,8,4
79,ascent,false,odin,33,5
79,bind,true,sheriff,5,3
81,bind,false,spectre,2,2
81,ascent,false,classic,7,4
81,ascent,true,sheriff,7,5
81,ascent,false,spectre,7,2
3412,split,false,vandal,172,5
3412,ascent,false,sheriff,20,4
3412,ascent,false,phantom,40,4
1611,icebox,true,ghost,65,17
1611,icebox,false,stinger,25,10
1079,lotus,false,vandal,234,9
1079,bind,false,vandal,107,5
1079,breeze,false,phantom,10,1
96,split,true,classic,36,9
96,split,false,ghost,7,3
281,pearl,false,phantom,55,4
3412,pearl,false,classic,3,2
337,bind,true,frenzy,4,3
53367,haven,false,bulldog,4,2
99,haven,false,sheriff,13,5
99,haven,false,phantom,86,5
53367,lotus,true,classic,5,2
79,fracture,true,classic,3,3
79,fracture,false,stinger,7,3
97,lotus,false,bulldog,18,5
48457,haven,false,spectre,4,4
