id,game_id,series_id,round_number,team_id,weapon_name,kill_count
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_99_ghost,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,99,ghost,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_99_classic,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,99,classic,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_97_ghost,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,97,ghost,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_97_classic,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,97,classic,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_2_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,2,99,vandal,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_2_99_bulldog,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,2,99,bulldog,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_2_99_ghost,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,2,99,ghost,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_3_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,3,99,vandal,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_3_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,3,97,vandal,5
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,99,vandal,5
719f343f-e8d5-44de-98c5-e66f04d0f5ab_4_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,4,97,vandal,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,99,vandal,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,97,vandal,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_5_97_guardian,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,5,97,guardian,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_99_classic,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,99,classic,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_6_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,6,97,vandal,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,99,vandal,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_7_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,7,97,vandal,5
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_97_operator,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,97,operator,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,97,vandal,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_8_97_classic,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,8,97,classic,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,99,vandal,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_99_operator,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,99,operator,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,97,vandal,4
719f343f-e8d5-44de-98c5-e66f04d0f5ab_9_97_operator,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,9,97,operator,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_99_bulldog,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,99,bulldog,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_97_operator,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,97,operator,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_10_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,10,97,vandal,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,99,vandal,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,97,vandal,4
719f343f-e8d5-44de-98c5-e66f04d0f5ab_11_97_operator,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,11,97,operator,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_99_sheriff,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,99,sheriff,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,99,vandal,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_12_97_phantom,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,12,97,phantom,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_99_classic,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,99,classic,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_99_sheriff,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,99,sheriff,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_99_ghost,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,99,ghost,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_97_ghost,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,97,ghost,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_13_97_sheriff,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,13,97,sheriff,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_14_99_bulldog,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,14,99,bulldog,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_14_99_sheriff,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,14,99,sheriff,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_14_99_guardian,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,14,99,guardian,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_14_97_classic,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,14,97,classic,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab_15_99_bulldog,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,15,99,bulldog,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_15_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,15,97,vandal,3
719f343f-e8d5-44de-98c5-e66f04d0f5ab_16_99_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,16,99,vandal,2
719f343f-e8d5-44de-98c5-e66f04d0f5ab_16_97_vandal,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,16,97,vandal,4
