id,game_id,series_id,round_number,player_id,player_name,team_id,agent,agent_role,side,kills,deaths,assists,headshots,alive_at_end,current_health,current_armor,clutch_situation
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,45,liazzi,99,viper,Controller,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,57,mwzera,99,jett,Duelist,attacker,2,0,1,2,true,12,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,19,kon4n,99,sova,Initiator,attacker,3,0,2,2,true,40,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,3314,havoc,99,kay/o,Initiator,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_51,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,51,Khalil,99,cypher,Sentinel,attacker,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_11334,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,11334,Demon1,97,jett,Duelist,defender,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_292,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,292,Marved,97,viper,Controller,defender,1,1,0,1,false,0,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_297,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,297,Ethan,97,kay/o,Initiator,defender,0,1,0,0,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_291,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,291,crashies,97,sova,Initiator,defender,1,1,0,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_1_290,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,1,290,Victor,97,cypher,Sentinel,defender,1,1,0,1,false,0,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_2_45,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,2,45,liazzi,99,viper,Controller,attacker,1,0,0,1,true,100,25,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_2_57,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,2,57,mwzera,99,jett,Duelist,attacker,2,0,2,1,true,20,0,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_2_19,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,2,19,kon4n,99,sova,Initiator,attacker,0,0,0,0,true,92,35,false
719f343f-e8d5-44de-98c5-e66f04d0f5ab_2_3314,719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,2,3314,havoc,99,kay/o,Initiator,attacker,0,0,0,0,true,100,25,false
