team_id,team_name,map_name,games_played,wins,losses,win_rate,rounds_won,rounds_lost,round_diff_ratio
99,FURIA,ascent,1,0,1,0.0,8,13,0.62
81,MIBR,bind,1,0,1,0.0,11,13,0.85
1079,Sentinels,ascent,1,0,1,0.0,9,13,0.69
96,G2 Esports,,2,0,2,0.0,,,
53367,2GAME eSports,haven,1,0,1,0.0,7,13,0.54
79,Cloud9,,3,1,2,33.3,,,
48457,KRÜ Esports,,2,2,0,100.0,,,
81,MIBR (1),,3,2,1,66.7,,,
337,100 Thieves,bind,1,1,0,100.0,13,6,2.17
337,100 Thieves,ascent,1,1,0,100.0,13,5,2.6
96,G2 Esports,sunset,1,0,1,0.0,8,13,0.62
79,Cloud9,icebox,1,0,1,0.0,7,13,0.54
79,Cloud9,sunset,1,1,0,100.0,13,7,1.86
97,NRG,sunset,1,1,0,100.0,13,2,6.5
96,G2 Esports,lotus,1,1,0,100.0,13,8,1.63
96,G2 Esports,icebox,1,1,0,100.0,13,3,4.33
97,NRG,,2,0,2,0.0,,,
48457,KRÜ Esports,,3,1,2,33.3,,,
81,MIBR (1),split,1,1,0,100.0,13,10,1.3
96,G2 Esports,haven,1,0,1,0.0,10,13,0.77
96,G2 Esports,haven,1,0,1,0.0,4,13,0.31
48457,KRÜ Esports,abyss,1,1,0,100.0,13,11,1.18
48457,KRÜ Esports,icebox,1,0,1,0.0,3,13,0.23
1611,Leviatán Esports,haven,1,1,0,100.0,13,4,3.25
81,MIBR (1),split,1,0,1,0.0,6,13,0.46
1611,Leviatán Esports,,2,2,0,100.0,,,
97,NRG,,4,3,1,75.0,,,
1079,Sentinels,lotus,1,1,0,100.0,14,12,1.17
79,Cloud9,,2,2,0,100.0,,,
99,FURIA,,2,0,2,0.0,,,
1611,Leviatán Esports,lotus,1,0,1,0.0,7,13,0.54
3412,LOUD (1),haven,1,1,0,100.0,13,7,1.86
1611,Leviatán Esports,,2,0,2,0.0,,,
48457,KRÜ Esports,abyss,1,0,1,0.0,8,13,0.62
81,MIBR (1),icebox,1,1,0,100.0,13,4,3.25
1079,Sentinels,icebox,1,1,0,100.0,13,11,1.18
1079,Sentinels,ascent,1,1,0,100.0,13,11,1.18
48457,KRÜ Esports,icebox,1,1,0,100.0,13,9,1.44
96,G2 Esports,lotus,1,1,0,100.0,13,1,13.0
99,FURIA,lotus,1,0,1,0.0,14,16,0.88
97,NRG,icebox,1,1,0,100.0,13,8,1.63
1611,Leviatán Esports,lotus,1,1,0,100.0,15,13,1.15
99,FURIA,haven,1,1,0,100.0,16,14,1.14
1611,Leviatán Esports,bind,1,1,0,100.0,13,10,1.3
3412,LOUD (1),bind,1,0,1,0.0,9,13,0.69
81,MIBR (1),icebox,1,0,1,0.0,5,13,0.38
81,MIBR (1),sunset,1,0,1,0.0,10,13,0.77
281,Evil Geniuses,,2,0,2,0.0,,,
96,G2 Esports,,3,2,1,66.7,,,
96,G2 Esports,ascent,1,1,0,100.0,16,14,1.14
1611,Leviatán Esports,corrode,1,0,1,0.0,10,13,0.77
337,100 Thieves,,2,2,0,100.0,,,
